Age,Gender,1,2,3,4,5,6,7,8,A1,9,10,11,12,13,14,15,16,17,A2,18,19,20,21,22,23,24,25,26,A3,27,28,29,30,31,32,33,34,35,A4,36,37,38,39,40,41,42,43,44,A5,45,46,47,48,49,50,A6,Feedback,Time,AnonymizedID
24,Mujer,3,2,1,3,2,3,1,0,Los pájaros nadan,3,1,0,1,0,3,3,1,1,llevo un reloj en la muñeca,3,2,2,1,0,2,3,1,0,Los niños juegan en el parque,2,2,3,3,1,1,0,3,3,Las abejas hacen queso,3,1,0,2,1,0,3,2,0,Los árboles son pequeños,2,0,1,0,2,0,Hoy es jueves,,722.0,ID21
32,Hombre,3,2,2,3,0,3,3,1,Los pájaros nadan,3,1,0,1,3,1,3,1,1,llevo un reloj en la muñeca,3,2,2,1,0,2,3,1,0,Los niños juegan en el parque,3,0,3,3,1,1,0,0,3,Las abejas hacen queso,3,3,0,2,1,0,3,2,0,Los árboles son pequeños,2,2,1,1,1,0,Hoy es jueves,,689.0,ID22
28,Hombre,0,2,2,3,1,3,1,0,Los pájaros nadan,3,1,0,1,2,1,0,0,1,llevo un reloj en la muñeca,3,2,0,1,0,2,3,2,0,Los niños juegan en el parque,1,0,3,0,1,2,0,3,3,Las abejas hacen queso,3,0,0,2,1,0,3,2,0,Los árboles son pequeños,2,0,1,1,0,0,Hoy es jueves,,1937.0,ID23
27,Hombre,3,2,2,3,3,2,1,3,Los pájaros nadan,3,3,1,1,3,1,3,1,1,llevo un reloj en la muñeca,3,2,2,1,0,2,3,2,0,Los niños juegan en el parque,0,3,3,3,1,1,0,0,3,Las abejas hacen queso,3,0,0,2,1,0,3,2,0,Los árboles son pequeños,3,2,1,1,3,0,Hoy es jueves,,1341.0,ID24
38,Hombre,1,0,2,3,1,0,3,2,Los pájaros nadan,0,2,1,1,0,0,3,3,1,llevo un reloj en la muñeca,0,0,1,2,1,0,0,3,3,Los niños juegan en el parque,0,1,2,0,1,1,0,3,3,Las abejas hacen queso,0,3,3,3,2,1,0,0,2,Los árboles son pequeños,0,1,1,1,2,1,Hoy es jueves,Las respuestas a veces no tenian relación aparente,866.0,ID25
32,Hombre,3,2,2,3,1,2,1,0,Los pájaros nadan,3,1,0,1,3,1,2,1,1,llevo un reloj en la muñeca,3,2,1,1,0,2,3,1,0,Los niños juegan en el parque,0,0,3,3,1,1,0,0,2,Las abejas hacen queso,3,0,0,2,1,0,3,2,0,Los árboles son pequeños,2,0,1,1,0,0,Hoy es jueves,,1324.0,ID26
22,Hombre,3,2,2,3,1,3,1,0,Los pájaros nadan,3,3,1,1,3,1,3,2,1,llevo un reloj en la muñeca,1,2,2,1,3,2,3,1,0,Los niños juegan en el parque,0,0,3,3,1,1,0,0,3,Las abejas hacen queso,3,1,0,2,1,0,3,1,0,Los árboles son pequeños,2,2,1,1,0,0,Hoy es jueves,"La encuesta en general la encontré un poco confusa, demasiados enunciados seguidos que tocan temas similares",935.0,ID27
30,Mujer,3,2,2,3,3,2,1,0,Los pájaros nadan,2,3,0,2,3,1,1,1,2,llevo un reloj en la muñeca,2,3,1,2,2,2,1,2,0,Los niños juegan en el parque,1,1,2,0,1,1,0,3,2,Las abejas hacen queso,2,1,1,1,2,0,3,1,3,Los árboles son pequeños,2,1,2,3,2,0,Hoy es jueves,,1059.0,ID28
33,Mujer,2,2,1,3,1,3,1,0,Los pájaros nadan,3,1,0,1,3,1,3,1,3,llevo un reloj en la muñeca,2,2,3,1,1,2,3,2,0,Los niños juegan en el parque,0,0,3,1,1,1,0,0,3,Las abejas hacen queso,3,3,1,2,1,0,3,2,0,Los árboles son pequeños,2,2,1,1,3,0,Hoy es jueves,No.,1605.0,ID29
52,Mujer,3,2,2,3,0,2,1,3,Los pájaros nadan,3,1,0,1,0,1,0,1,1,llevo un reloj en la muñeca,3,2,1,1,0,2,3,1,0,Los niños juegan en el parque,0,0,3,3,1,1,0,0,2,Las abejas hacen queso,3,0,0,2,1,0,3,2,0,Los árboles son pequeños,2,0,1,1,0,0,Hoy es jueves,Demasiadas faltas de ortografía…,1765.0,ID30
